"","feature","enrich_group","ef_lda","pvalue","padj"
"marker33","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__longicatena","Control",3.70626816053049,0.047252949266665,0.047252949266665
"marker34","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__pectinoschiza","Control",3.69282862373641,0.0365660378375116,0.0365660378375116
"marker35","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__saccharivorans","Control",3.6370624746244,0.0465863991239682,0.0465863991239682
"marker36","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_NK4A214_group","Control",3.60273694026022,0.0192431355063779,0.0192431355063779
"marker37","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_NK4A214_group|s__Ruminococcaceae_NK4A214_group_s__","Control",3.60273694026022,0.0192431355063779,0.0192431355063779
"marker38","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__formicigenerans","Control",3.59759909791726,0.00337793855198434,0.00337793855198434
"marker39","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_g__","Control",3.4652090146799,0.00148880655243221,0.00148880655243221
"marker40","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_g__|s__Christensenellaceae_g___s__","Control",3.46498391976465,0.00148880655243221,0.00148880655243221
"marker41","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__inulinivorans","Control",3.4020041214149,0.0182187629884186,0.0182187629884186
"marker42","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__CAG-56","Control",3.36410626218338,0.00173749681920911,0.00173749681920911
"marker43","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__CAG-56|s__CAG-56_s__","Control",3.36410623466245,0.00173749681920911,0.00173749681920911
"marker44","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__Family_XIII_AD3011_group","Control",3.28090965794143,0.00176475282374523,0.00176475282374523
"marker45","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__Family_XIII_AD3011_group|s__Family_XIII_AD3011_group_s__","Control",3.27898204572628,0.00176475282374523,0.00176475282374523
"marker46","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-010","Control",3.21134486235865,0.0059063734048814,0.0059063734048814
"marker47","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-010|s__Ruminococcaceae_UCG-010_s__","Control",3.20228633028547,0.0059063734048814,0.0059063734048814
"marker48","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus","Control",3.11235916449062,0.00999099903825657,0.00999099903825657
"marker49","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_s__","Control",3.11224341340621,0.00999099903825657,0.00999099903825657
"marker50","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_ND3007_group","Control",3.0530208663935,0.011038260590866,0.011038260590866
"marker51","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_ND3007_group|s__Lachnospiraceae_ND3007_group_s__","Control",3.05227126102346,0.011038260590866,0.011038260590866
"marker52","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_UCG-001","Control",3.01435238361889,0.0379580381459959,0.0379580381459959
